request_num,payload,attempt,protocol,size_bytes,time_connect_s,time_ttfb_s,time_ttlb_s,time_total_s,speed_Bps,speed_KBps,speed_MBps
91,5mb.bin,11,QUIC/HTTP3,5242939,0.000480,0.000280,0.013270,0.015,341448323,333445.628,325.630
92,5mb.bin,12,QUIC/HTTP3,5242939,0.000450,0.000260,0.015090,0.017,306532916,299348.551,292.333
93,5mb.bin,13,QUIC/HTTP3,5242939,0.000460,0.000270,0.013800,0.016,330826540,323072.793,315.501
94,5mb.bin,14,QUIC/HTTP3,5242939,0.000430,0.000320,0.012260,0.014,365769429,357196.708,348.825
95,5mb.bin,15,QUIC/HTTP3,5242939,0.000470,0.000280,0.011830,0.014,377733357,368880.231,360.235
96,5mb.bin,16,QUIC/HTTP3,5242939,0.000450,0.000260,0.014170,0.016,323438556,315857.965,308.455
97,5mb.bin,17,QUIC/HTTP3,5242939,0.000440,0.000260,0.013050,0.015,347790315,339638.979,331.679
98,5mb.bin,18,QUIC/HTTP3,5242939,0.000450,0.000270,0.013700,0.016,333181177,325372.243,317.746
99,5mb.bin,19,QUIC/HTTP3,5242939,0.000440,0.000330,0.012670,0.015,355405301,347075.489,338.941
100,5mb.bin,20,QUIC/HTTP3,5242939,0.000450,0.000280,0.014280,0.016,321514626,313979.127,306.620
101,5mb.bin,21,QUIC/HTTP3,5242939,0.000450,0.000360,0.015020,0.017,305996206,298824.420,291.821
102,5mb.bin,22,QUIC/HTTP3,5242939,0.000460,0.000330,0.015270,0.017,301145261,294087.169,287.195
103,5mb.bin,23,QUIC/HTTP3,5242939,0.000450,0.000270,0.014660,0.017,314324880,306957.891,299.764
104,5mb.bin,24,QUIC/HTTP3,5242939,0.000430,0.000340,0.013410,0.016,338101438,330177.186,322.439
105,5mb.bin,25,QUIC/HTTP3,5242939,0.000460,0.000260,0.014900,0.017,309044444,301801.215,294.728
106,5mb.bin,26,QUIC/HTTP3,5242939,0.000450,0.000400,0.015430,0.018,298521836,291525.230,284.693
107,5mb.bin,27,QUIC/HTTP3,5242939,0.000440,0.000270,0.013840,0.016,330347111,322604.601,315.044
108,5mb.bin,28,QUIC/HTTP3,5242939,0.000450,0.000260,0.014290,0.016,321042128,313517.703,306.170
109,5mb.bin,29,QUIC/HTTP3,5242939,0.000420,0.000290,0.012270,0.014,366639091,358045.987,349.654
110,5mb.bin,30,QUIC/HTTP3,5242939,0.000460,0.000360,0.012890,0.015,347099570,338964.424,331.020
111,5mb.bin,31,QUIC/HTTP3,5242939,0.000420,0.000230,0.011450,0.013,391176528,382008.328,373.055
112,5mb.bin,32,QUIC/HTTP3,5242939,0.000390,0.000240,0.010970,0.013,406429380,396903.691,387.601
113,5mb.bin,33,QUIC/HTTP3,5242939,0.000430,0.000240,0.011190,0.013,397704544,388383.344,379.281
114,5mb.bin,34,QUIC/HTTP3,5242939,0.000390,0.000220,0.011300,0.013,396741506,387442.877,378.362
115,5mb.bin,35,QUIC/HTTP3,5242939,0.000410,0.000310,0.011980,0.014,373774791,365014.444,356.459
116,5mb.bin,36,QUIC/HTTP3,5242939,0.000430,0.000330,0.010500,0.013,417364990,407582.998,398.030
117,5mb.bin,37,QUIC/HTTP3,5242939,0.000460,0.000340,0.012900,0.015,349063848,340882.664,332.893
118,5mb.bin,38,QUIC/HTTP3,5242939,0.000420,0.000340,0.012980,0.015,348506980,340338.848,332.362
119,5mb.bin,39,QUIC/HTTP3,5242939,0.000440,0.000370,0.012680,0.015,354180842,345879.729,337.773
120,5mb.bin,40,QUIC/HTTP3,5242939,0.000440,0.000250,0.015020,0.017,307449657,300243.806,293.207
121,small_page.bin,1,QUIC/HTTP3,20539,0.000460,0.000950,0.000010,0.003,7504202,7328.322,7.157
122,small_page.bin,2,QUIC/HTTP3,20539,0.000510,0.000250,0.000040,0.002,9734123,9505.979,9.283
123,small_page.bin,3,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,10063204,9827.348,9.597
124,small_page.bin,4,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,9780476,9551.246,9.327
125,small_page.bin,5,QUIC/HTTP3,20539,0.000450,0.000300,0.000010,0.002,10019024,9784.203,9.555
126,small_page.bin,6,QUIC/HTTP3,20539,0.000420,0.000250,0.000010,0.002,10254119,10013.788,9.779
127,small_page.bin,7,QUIC/HTTP3,20539,0.000450,0.000290,0.000010,0.002,9903086,9670.982,9.444
128,small_page.bin,8,QUIC/HTTP3,20539,0.000440,0.000310,0.000010,0.002,9975231,9741.437,9.513
129,small_page.bin,9,QUIC/HTTP3,20539,0.000450,0.000290,0.000010,0.002,10078018,9841.814,9.611
130,small_page.bin,10,QUIC/HTTP3,20539,0.000450,0.000240,0.000050,0.002,10087917,9851.481,9.621
131,small_page.bin,11,QUIC/HTTP3,20539,0.000460,0.000240,0.000040,0.002,9846117,9615.349,9.390
132,small_page.bin,12,QUIC/HTTP3,20539,0.000470,0.000310,0.000010,0.002,9865034,9633.822,9.408
133,small_page.bin,13,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,10019024,9784.203,9.555
134,small_page.bin,14,QUIC/HTTP3,20539,0.000460,0.000300,0.000010,0.002,9789800,9560.352,9.336
135,small_page.bin,15,QUIC/HTTP3,20539,0.000450,0.000290,0.000010,0.002,10177899,9939.354,9.706
136,small_page.bin,16,QUIC/HTTP3,20539,0.000450,0.000230,0.000040,0.002,9850839,9619.960,9.394
137,small_page.bin,17,QUIC/HTTP3,20539,0.000450,0.000280,0.000010,0.002,10033708,9798.543,9.569
138,small_page.bin,18,QUIC/HTTP3,20539,0.000420,0.000240,0.000010,0.002,10208250,9968.994,9.735
139,small_page.bin,19,QUIC/HTTP3,20539,0.000460,0.000260,0.000040,0.002,9922222,9689.670,9.463
140,small_page.bin,20,QUIC/HTTP3,20539,0.000460,0.000300,0.000010,0.002,9711111,9483.507,9.261
141,small_page.bin,21,QUIC/HTTP3,20539,0.000430,0.000260,0.000010,0.002,10300401,10058.985,9.823
142,small_page.bin,22,QUIC/HTTP3,20539,0.000440,0.000250,0.000010,0.002,9941433,9708.431,9.481
143,small_page.bin,23,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,10132708,9895.223,9.663
144,small_page.bin,24,QUIC/HTTP3,20539,0.000430,0.000300,0.000010,0.002,10048434,9812.924,9.583
145,small_page.bin,25,QUIC/HTTP3,20539,0.000410,0.000240,0.000010,0.002,10305569,10064.032,9.828
146,small_page.bin,26,QUIC/HTTP3,20539,0.000460,0.000290,0.000010,0.002,9999513,9765.149,9.536
147,small_page.bin,27,QUIC/HTTP3,20539,0.000430,0.000280,0.000010,0.002,10102804,9866.020,9.635
148,small_page.bin,28,QUIC/HTTP3,20539,0.000430,0.000290,0.000010,0.002,10122721,9885.470,9.654
149,small_page.bin,29,QUIC/HTTP3,20539,0.000430,0.000270,0.000010,0.002,10269500,10028.809,9.794
150,small_page.bin,30,QUIC/HTTP3,20539,0.000450,0.000300,0.000010,0.002,9701937,9474.548,9.252
151,small_page.bin,31,QUIC/HTTP3,20539,0.000440,0.000290,0.000010,0.002,10087917,9851.481,9.621
